,공원명,공원구분,소재지주소,위도,경도,공원면적
1231,삼계 근린공원,근린공원,경상남도 창원시 마산회원구 내서읍 삼계리 산 278-4번지 일원,35.225646000000005,128.50276399999998,383000.0
1232,중리 근린공원,근린공원,경상남도 창원시 마산회원구 내서읍 중리 산 44번지 일원,35.248542,128.50540900000001,725100.0
1233,상곡 근린공원,근린공원,경상남도 창원시 마산회원구 내서읍 상곡리 산 155번지 일원,35.239859,128.49993600000002,1192100.0
1234,중앙 근린공원,근린공원,경상남도 창원시 마산회원구 양덕동 산 56-7번지 일원,35.224239000000004,128.576706,210462.0
1235,팔룡 근린공원,근린공원,경상남도 창원시 마산회원구 양덕동 334번지 일원,35.225837,128.590732,2029481.0
1236,18호 소공원,소공원,경상남도 창원시 마산회원구 회원동 214-19번지 일원,35.223143,128.57044299999998,2000.0
1237,17호 소공원,소공원,경상남도 창원시 마산회원구 회원동 355-57번지 일원,35.218996000000004,128.56951899999999,2453.0
1238,16호 소공원,소공원,경상남도 창원시 마산회원구 회원동 566,35.218161,128.5651538,2767.0
1239,15호 소공원,소공원,경상남도 창원시 마산회원구 회원동 597-8번지 일원,35.217408,128.564772,2845.0
1240,자은공원,어린이공원,경상남도 창원시 진해구 자은동 834-7,35.147240999999994,128.710183,1533.0
1241,제덕제2공원,어린이공원,경상남도 창원시 진해구 제덕동 875-7,35.10065,128.743698,1904.0
1242,제덕제1공원,어린이공원,경상남도 창원시 진해구 제덕동 866-3,35.101914,128.74213999999998,1873.0
1243,자은5공원,어린이공원,경상남도 창원시 진해구 석동 113-3,35.150681,128.70577,1503.0
1244,석동2공원,어린이공원,경상남도 창원시 진해구 석동 671,35.15828928,128.695475,2900.0
1245,장천1공원,어린이공원,경상남도 창원시 진해구 장천동 119-33,35.127177,128.707657,2423.0
1246,이슬공원(어린이공원31),어린이공원,경상남도 창원시 진해구 용원동 1337-4,35.086878000000006,128.80518600000002,5625.0
1247,제46호 어린이공원,어린이공원,경상남도 창원시 마산회원구 내서읍 중리 1048-2번지 일원,35.246936,128.507466,2140.0
1248,제45호 어린이공원,어린이공원,경상남도 창원시 마산회원구 내서읍 중리 1039번지 일원,35.249821000000004,128.509318,1635.0
1249,제44호 어린이공원,어린이공원,경상남도 창원시 마산회원구 내서읍 중리 1037번지 일원,35.251046,128.511344,1752.0
1250,제43호 어린이공원,어린이공원,경상남도 창원시 마산회원구 봉암동 101-5번지 일원,35.213286,128.617332,4200.0
1251,제41호 어린이공원,어린이공원,경상남도 창원시 마산회원구 회원동 650번지 일원,35.215955,128.560104,1648.0
1252,제40호 어린이공원,어린이공원,경상남도 창원시 마산회원구 회원2동 668-1번지 일원,35.219590999999994,128.563782,1424.0
1253,제39호 어린이공원,어린이공원,경상남도 창원시 마산회원구 회원2동 628-1번지 일원,35.221588,128.567142,1430.0
1254,제38호 어린이공원,어린이공원,경상남도 창원시 마산회원구 회성동 444-19번지 일원,35.233128,128.556994,973.0
1255,제37호 어린이공원,어린이공원,경상남도 창원시 마산회원구 회성동 449-7번지 일원,35.233561,128.55909499999999,995.0
1256,제36호 어린이공원,어린이공원,경상남도 창원시 마산회원구 석전동 272-21번지 일원,35.231033000000004,128.566821,1500.0
1257,제35호 어린이공원,어린이공원,경상남도 창원시 마산회원구 석전동 284-1번지 일원,35.227371000000005,128.568575,969.0
1258,제34호 어린이공원,어린이공원,경상남도 창원시 마산회원구 회원동 32-1번지 일원,35.221478999999995,128.572667,817.0
1259,제33호 어린이공원,어린이공원,"경상남도 창원시 마산회원구 회원동 52-9, 10, 11번지 일원",35.218414,128.573891,833.0
1260,제30호 어린이공원,어린이공원,경상남도 창원시 마산회원구 봉암동 458-11번지 일원,35.220902,128.59814599999999,463.0
1261,소답,어린이공원,경상남도 창원시 의창구 소답동 114-4,35.261860999999996,128.626218,1602.0
1262,고향의봄,어린이공원,경상남도 창원시 의창구 소답동 128-5,35.267271,128.627787,1597.0
1263,두럭,어린이공원,경상남도 창원시 의창구 소답동 123-13,35.266327000000004,128.6263915,1602.0
1264,사림,어린이공원,"경상남도 창원시 의창구 사림동 155, 156",35.248624,128.686075,1800.0
1265,사림천,어린이공원,경상남도 창원시 의창구 사림동 72-1,35.24428613,128.683085,1253.0
1266,소계,체육공원,경상남도 창원시 의창구 소계동 778,35.26055302,128.5954719,36747.0
1267,도계,체육공원,경상남도 창원시 의창구 도계동 378-4,35.258041999999996,128.64214009999998,37703.0
1268,일동지구 제2호,소공원,경상남도 창원시 의창구 대산면 일동리 921,35.366446,128.69364099999999,400.0
1269,감계1호,소공원,경상남도 창원시 의창구 북면 감계리 278-1,35.297211,128.5934915,1448.0
1270,반계,소공원,경상남도 창원시 의창구 팔룡동 214-1,35.254689,128.605252,1591.0
1271,제198호,소공원,경상남도 창원시 의창구 명서동 26,35.251591,128.6421044,8693.0
1272,무동1호,근린공원,경상남도 창원시 의창구 북면 무동리 220-1,35.316866999999995,128.58643700000002,10352.0
1273,제3근린공원,근린공원,경상남도 창원시 진해구 남문동 1297,35.10301115,128.7624012,12497.0
